"","Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AIToolCurrently.Using","Employment"
"696","Durban Campus","Computer Science","I am a developer by profession","Developer; full-stack","Some college/university study without earning a degree","Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;PowerShell;Prolog;Python;SQL;TypeScript","BigQuery;Dynamodb;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Oracle","Amazon Web Services (AWS);Google Cloud;Heroku;Netlify","Angular;ASP.NET;ASP.NET CORE;React","Not Stated","Bing AI;ChatGPT","Writing code;Documenting code;Debugging and getting help","Student, full-time;Employed, part-time"
"697","Durban Campus","Computer Science","I am a developer by profession","Developer; back-end","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","C#;C++;HTML/CSS;JavaScript;PowerShell;SQL","Cosmos DB;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;RavenDB;Redis","Microsoft Azure","ASP.NET;ASP.NET CORE;jQuery","Information Services; IT; Software Development; Technology","Bing AI;ChatGPT","Writing code;Documenting code","Employed, full-time"
"698","Durban Campus","Data Science","I am a developer by profession","Developer; full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;TypeScript","Microsoft SQL Server","Microsoft Azure","Angular;ASP.NET CORE;Node.js","Information Services; IT; Software Development; Technology","ChatGPT","None","Employed, full-time"
"699","Durban Campus","IT","I am a developer by profession","N/A","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;Python;Rust;TypeScript","Cloud Firestore;Firebase Realtime Database;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite;Supabase","Firebase;Fly.io;Microsoft Azure;Netlify;Vercel","Next.js;Node.js;Qwik;React;Svelte","Not Stated","ChatGPT","Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help;Testing code","Student, full-time"
"700","Durban Campus","IT","I am a developer by profession","Academic researcher","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);PowerShell;Python;R;SQL","MySQL;PostgreSQL;SQLite","Microsoft Azure","None","Not Stated","ChatGPT","Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code","Employed, full-time"
"701","Durban Campus","Computer Science","I am a developer by profession","Developer; QA ;test","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Assembly;Bash/Shell (all shells);C;Python","InfluxDB","None","None","Information Services; IT; Software Development; Technology","None","None","Employed, full-time"
"702","Durban Campus","Data Science","I am a developer by profession","Developer; front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Dart;Go;TypeScript","Dynamodb;PostgreSQL","Amazon Web Services (AWS);Google Cloud;Microsoft Azure","Angular;Node.js;React;Svelte;Vue.js","Healthcare","None","None","Employed, full-time"
"703","Durban Campus","IT","I am a developer by profession","Developer; back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);PowerShell;Python","Oracle","None","Django;FastAPI","N/A","None","None","Not employed, but looking for work"
"704","Durban Campus","IT","I am a developer by profession","Data scientist ;machine learning specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Python;SQL","BigQuery;PostgreSQL","Amazon Web Services (AWS);Google Cloud","FastAPI","Not Stated","ChatGPT","None","Employed, full-time"
"705","Durban Campus","IT","I am learning to code","N/A","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","C++;HTML/CSS;Python;SQL","MySQL","None","None","Not Stated","ChatGPT","None","Student, full-time"
"706","Durban Campus","Computer Science","I am a developer by profession","Developer; front-end","Associate degree (A.A., A.S., etc.)","HTML/CSS;JavaScript","MongoDB","Amazon Web Services (AWS)","jQuery;Node.js","Not Stated","ChatGPT","Writing code;Documenting code","Independent contractor, freelancer, or self-employed"
"707","Durban Campus","Data Science","I am a developer by profession","Developer; full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Rust;SQL;TypeScript","MongoDB;MySQL","Fly.io;Heroku;Linode, now Akamai;OpenShift;Render","Deno;Express;Node.js;React;Remix;Solid.js;Svelte;Vue.js","N/A","ChatGPT;Perplexity AI","Project planning;Writing code;Debugging and getting help","Independent contractor, freelancer, or self-employed;Not employed, but looking for work"
"708","Durban Campus","Data Science","I am a developer by profession","Developer; full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript","MySQL","Heroku","Express;jQuery;Laravel;NestJS;Node.js;React","N/A","ChatGPT","Learning about a codebase;Project planning;Debugging and getting help;Committing and reviewing code","Independent contractor, freelancer, or self-employed;Not employed, but looking for work;Student, part-time"
"709","Durban Campus","Data Science","I am a developer by profession","Developer; full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL","MongoDB;MySQL;PostgreSQL;SQLite","None","Express;Flask;jQuery;Node.js;Svelte;Vue.js;WordPress","Information Services; IT; Software Development; Technology","ChatGPT;WolframAlpha;You.com","Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring","Employed, full-time"
"710","Durban Campus","Data Science","I am a developer by profession","Database administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C#;C++","Cassandra;Microsoft SQL Server;MongoDB","Amazon Web Services (AWS);Microsoft Azure","Django;Node.js","Not Stated","ChatGPT","None","Employed, full-time"
"711","Durban Campus","Computer Science","I am a developer by profession","Other (please specify):","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript","Dynamodb;MySQL","Amazon Web Services (AWS)","Angular;Node.js;React","Information Services; IT; Software Development; Technology","ChatGPT","Learning about a codebase;Debugging and getting help","Employed, full-time"
"712","Durban Campus","Computer Science","None of these","Not Stated","Not Stated","Not Stated","None","None","None","Not Stated","None","None","Not Stated"
"713","Durban Campus","Data Science","I am a developer by profession","Developer; full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;Java;Perl;Python;Rust;SQL;Visual Basic (.Net)","IBM DB2;Microsoft SQL Server;Oracle;PostgreSQL;SQLite","Amazon Web Services (AWS)","ASP.NET;ASP.NET CORE;jQuery","Financial Services","ChatGPT;Google Bard AI","None","Employed, full-time"
"714","Durban Campus","IT","I am a developer by profession","Developer; back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Groovy;HTML/CSS;Java;Perl;Rust;SQL","Elasticsearch","Amazon Web Services (AWS);Google Cloud;Hetzner;Microsoft Azure","None","Information Services; IT; Software Development; Technology","ChatGPT;Google Bard AI","None","Employed, full-time"
"715","Durban Campus","IT","I code primarily as a hobby","Other (please specify):","Associate degree (A.A., A.S., etc.)","C;C++;HTML/CSS;JavaScript;PHP;Python","None","None","None","Not Stated","None","None","Employed, full-time"
"716","Durban Campus","Data Science","I am a developer by profession","Developer; front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript","MariaDB","Cloudflare;Microsoft Azure","Express;Node.js;React","Not Stated","ChatGPT","Writing code;Debugging and getting help;Testing code","Employed, full-time"
"717","Durban Campus","Data Science","I am a developer by profession","Developer; full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Apex;C#;Java;JavaScript;Julia;Python;Rust;TypeScript","Cassandra;MongoDB;MySQL;PostgreSQL","Amazon Web Services (AWS);Google Cloud;Heroku;Microsoft Azure","ASP.NET;ASP.NET CORE;jQuery;Node.js;Spring Boot;Vue.js","Not Stated","ChatGPT;WolframAlpha","Documenting code","Employed, full-time"
"718","Durban Campus","IT","I am a developer by profession","Developer; full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;JavaScript;PowerShell;SQL;TypeScript","Dynamodb;Microsoft SQL Server;PostgreSQL","Amazon Web Services (AWS)","Angular;AngularJS;ASP.NET;ASP.NET CORE;Node.js","Not Stated","ChatGPT","Debugging and getting help","Employed, full-time"
"719","Durban Campus","IT","I am a developer by profession","Developer; full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;TypeScript","Cosmos DB","Microsoft Azure","React","Not Stated","None","None","Employed, full-time"
"720","Durban Campus","Computer Science","I am a developer by profession","Developer; back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);JavaScript;Python;SQL","MongoDB","Amazon Web Services (AWS);Cloudflare","Node.js","Financial Services","None","None","Employed, full-time"
"721","Durban Campus","IT","I am a developer by profession","Developer; desktop ;enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C++;Python;Rust;SQL","MySQL;PostgreSQL;Solr","None","None","Not Stated","ChatGPT","Writing code;Debugging and getting help","Employed, part-time;Student, part-time"
"722","Durban Campus","IT","I am a developer by profession","Research & Development role","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Ada;Fortran","Couch DB;Microsoft Access","Microsoft Azure","NestJS","Manufacturing; Transportation; Supply Chain","Andi;Metaphor;WolframAlpha","Learning about a codebase","Employed, full-time"
"723","Durban Campus","Computer Science","I am a developer by profession","Developer; back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Go;JavaScript;TypeScript","MongoDB;Redis","Amazon Web Services (AWS);Vercel","Express;Flask;NestJS;Node.js;React","Healthcare","ChatGPT","Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code","Employed, full-time;Employed, part-time"
"724","Durban Campus","IT","I am a developer by profession","Developer; back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Kotlin;Python;Rust;SQL","PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Oracle Cloud Infrastructure (OCI)","FastAPI","Financial Services","None","None","Employed, full-time"
"725","Durban Campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Product manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;Python;SQL","PostgreSQL;SQLite","Linode, now Akamai","Django","Not Stated","Bing AI;ChatGPT","Learning about a codebase;Writing code;Debugging and getting help","Employed, full-time;Independent contractor, freelancer, or self-employed"
"726","Durban Campus","IT","I am a developer by profession","Developer; full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;Python;SQL;TypeScript","MongoDB;PostgreSQL;Redis;Supabase","Google Cloud;Microsoft Azure","Angular;ASP.NET CORE;Express;Next.js;Node.js;React","Not Stated","ChatGPT","Writing code","Employed, full-time"
"727","Durban Campus","Data Science","I am a developer by profession","DevOps specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Groovy;JavaScript;Python","InfluxDB;MySQL;PostgreSQL","Amazon Web Services (AWS);Google Cloud;Microsoft Azure","Django;Flask","Not Stated","None","None","Employed, full-time"
"728","Durban Campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Educator","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","HTML/CSS;JavaScript;TypeScript","MongoDB","Amazon Web Services (AWS);Heroku;Netlify;Vercel","Express;Fastify;Node.js","Information Services; IT; Software Development; Technology","ChatGPT","Writing code;Documenting code","Employed, full-time"
"729","Durban Campus","Data Science","I am a developer by profession","Research & Development role","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Assembly;C;C++;Java;Python;Rust","None","None","None","Not Stated","None","None","Employed, full-time"
"730","Durban Campus","IT","I am a developer by profession","Developer; full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C++;Java;JavaScript;Kotlin;PHP;Python;Rust;TypeScript","MySQL;PostgreSQL","Amazon Web Services (AWS);Cloudflare","Node.js;React;WordPress","N/A","None","None","Independent contractor, freelancer, or self-employed;Not employed, but looking for work"
"731","Durban Campus","IT","I am learning to code","N/A","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Assembly;C#;C++;F#;PowerShell","PostgreSQL;SQLite","None","ASP.NET CORE;React","Not Stated","Bing AI;WolframAlpha","None","Student, full-time"
"732","Durban Campus","IT","I am a developer by profession","Developer; front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;TypeScript","Firebase Realtime Database","Amazon Web Services (AWS)","jQuery;React","N/A","ChatGPT;WolframAlpha","None","Not employed, but looking for work"
"733","Durban Campus","IT","I am a developer by profession","Developer; full-stack","Some college/university study without earning a degree","Assembly;C#;Java;JavaScript;SQL;TypeScript","MySQL;Oracle;SQLite","None","Angular;ASP.NET CORE","Information Services; IT; Software Development; Technology","ChatGPT;WolframAlpha","Writing code;Documenting code;Testing code","Employed, full-time"
"734","Durban Campus","Data Science","I am a developer by profession","Developer; embedded applications ;devices","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C;C#;Python;Visual Basic (.Net)","SQLite","None","None","Not Stated","None","None","Employed, full-time"
"735","Durban Campus","IT","I am a developer by profession","Seni;Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;Swift","BigQuery;Cloud Firestore;Dynamodb;MongoDB;PostgreSQL;SQLite","Amazon Web Services (AWS);Firebase;Google Cloud","Flask;jQuery;WordPress","Information Services; IT; Software Development; Technology","None","None","Employed, full-time;Independent contractor, freelancer, or self-employed"
"736","Durban Campus","IT","I am a developer by profession","Developer; full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","C#;JavaScript;SQL","Microsoft SQL Server","None","ASP.NET","Not Stated","None","None","Employed, full-time"
"737","Durban Campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Other (please specify):","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;PowerShell;Rust;TypeScript","None","None","jQuery;Node.js","Not Stated","ChatGPT;WolframAlpha","None","Employed, full-time"
"738","Durban Campus","Computer Science","I am a developer by profession","Developer; back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;JavaScript;SQL","PostgreSQL","Amazon Web Services (AWS)","ASP.NET CORE","Not Stated","None","None","Employed, full-time"
"739","Durban Campus","Data Science","I am a developer by profession","N/A","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL","H2;MongoDB;MySQL;SQLite","Cloudflare","Spring Boot;WordPress","Not Stated","ChatGPT","Project planning;Writing code;Documenting code;Debugging and getting help;Testing code;Collaborating with teammates ","Student, full-time"
"740","Durban Campus","Computer Science","I am a developer by profession","Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Perl;PowerShell;Python;SQL;TypeScript","Dynamodb;Elasticsearch;H2;MariaDB;Microsoft SQL Server;PostgreSQL;Redis;Solr","Amazon Web Services (AWS);Cloudflare;Microsoft Azure","Express;jQuery;Node.js;React;Spring Boot;Vue.js","Not Stated","None","None","Employed, full-time"
"741","Durban Campus","Data Science","I am a developer by profession","Developer; full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;Elixir;Go;HTML/CSS;Java;JavaScript;Ruby;Rust;Swift;TypeScript","MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Google Cloud;Heroku;Microsoft Azure;OpenStack","Django;jQuery;Next.js;Node.js;Qwik;React;Ruby on Rails","Not Stated","ChatGPT;Google Bard AI;WolframAlpha","Writing code","Employed, part-time"
"742","Durban Campus","Computer Science","I am a developer by profession","Research & Development role","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Python","None","None","None","Other","ChatGPT","Project planning;Writing code;Debugging and getting help;Collaborating with teammates ;Other (please describe)","Employed, full-time"
"743","Durban Campus","Data Science","I am a developer by profession","Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Python;SQL","PostgreSQL;Redis;SQLite","Amazon Web Services (AWS)","FastAPI;React","Not Stated","ChatGPT;Google Bard AI","Writing code","Employed, full-time"
"744","Durban Campus","Computer Science","None of these","Not Stated","Not Stated","Not Stated","None","None","None","Not Stated","None","None","Not Stated"
"745","Durban Campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Academic researcher","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","R","None","Google Cloud","None","Not Stated","None","None","Employed, full-time"
"746","Durban Campus","IT","I am a developer by profession","Developer; desktop ;enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL","Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite","Amazon Web Services (AWS);Microsoft Azure","Angular;AngularJS;ASP.NET;ASP.NET CORE;Django;Express;jQuery;Node.js;WordPress","Information Services; IT; Software Development; Technology","ChatGPT;WolframAlpha","Writing code;Documenting code;Debugging and getting help","Employed, full-time"
"747","Durban Campus","IT","I am a developer by profession","Developer; full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;JavaScript;PowerShell;SQL;TypeScript","Cosmos DB;Microsoft SQL Server;MongoDB","Cloudflare;Microsoft Azure","ASP.NET;ASP.NET CORE;Node.js;React","Information Services; IT; Software Development; Technology","ChatGPT","Project planning;Writing code;Documenting code;Testing code","Employed, full-time;Independent contractor, freelancer, or self-employed"
"748","Durban Campus","Computer Science","I am a developer by profession","Developer; full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript","Dynamodb;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Microsoft Azure","ASP.NET;ASP.NET CORE;FastAPI;jQuery;Laravel;Node.js;Symfony;Vue.js","Not Stated","Bing AI;ChatGPT","None","Employed, full-time"
"749","Durban Campus","IT","I am a developer by profession","Research & Development role","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Kotlin;Python;Rust","Cloud Firestore;PostgreSQL;Redis","Amazon Web Services (AWS);Managed Hosting","Spring Boot","Not Stated","None","None","Employed, full-time"
"750","Durban Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer; front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;C++;HTML/CSS;Java;JavaScript;Julia;PHP;PowerShell;Python;Rust","MariaDB;MySQL;PostgreSQL","None","None","Not Stated","ChatGPT;WolframAlpha","Writing code","Employed, part-time;Student, part-time"
"751","Durban Campus","Computer Science","I am learning to code","N/A","Primary/elementary school","C++;JavaScript;Kotlin;PHP;TypeScript","MariaDB","None","None","Not Stated","None","None","Student, full-time"
"752","Durban Campus","Computer Science","I am a developer by profession","Developer; full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","C;Cobol;HTML/CSS;Java;SQL","MySQL;Oracle","None","Angular;Spring Boot","Not Stated","ChatGPT","None","Employed, full-time"
"753","Durban Campus","Data Science","I am a developer by profession","Developer; back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Scala","Dynamodb","Amazon Web Services (AWS)","None","Not Stated","None","None","Independent contractor, freelancer, or self-employed"
"754","Durban Campus","Data Science","I am a developer by profession","Developer; full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Kotlin","Cloud Firestore","Firebase","Laravel","N/A","ChatGPT","None","Not employed, but looking for work"
"755","Durban Campus","IT","I am a developer by profession","Research & Development role","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Apex;Assembly;Bash/Shell (all shells);C;C++","None","IBM Cloud Or Watson","None","Not Stated","None","None","Employed, full-time"
"756","Durban Campus","IT","I am a developer by profession","N/A","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Groovy;Java;JavaScript;SQL;TypeScript","Cassandra;H2;MongoDB;MySQL;PostgreSQL","Heroku","Spring Boot","N/A","None","None","Not employed, and not looking for work"
"757","Durban Campus","Computer Science","I am a developer by profession","Developer; back-end","Some college/university study without earning a degree","Clojure;Kotlin","Datomic;MySQL","Digital Ocean","Spring Boot","Not Stated","None","None","Employed, full-time"
"758","Durban Campus","IT","I am a developer by profession","Developer; desktop ;enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Apex;C#;HTML/CSS;JavaScript;PHP;SQL","MariaDB;Microsoft SQL Server;SQLite","Google Cloud","Flask;jQuery;Laravel;Symfony","Not Stated","Bing AI;ChatGPT","Debugging and getting help;Collaborating with teammates ","Employed, full-time"
"759","Durban Campus","Computer Science","I am a developer by profession","System administrator","Primary/elementary school","Ada;Apex;APL;Assembly;Bash/Shell (all shells);C;C#;C++;Clojure;Cobol;Crystal;Dart;Delphi;Elixir;Erlang;F#;Flow;Fortran;GDScript;Go;Groovy;Haskell;HTML/CSS;Java;JavaScript;Julia;Kotlin;Lisp;Lua;MATLAB;Nim;Objective-C;OCaml;Perl;PHP;PowerShell;Prolog;Python;R;Raku;Ruby;Rust;SAS;Scala;Solidity;SQL;Swift;TypeScript;VBA;Visual Basic (.Net);Zig","BigQuery;Cassandra;Clickhouse;Cloud Firestore;Cockroachdb;Cosmos DB;Couch DB;Couchbase;Datomic;DuckDB;Dynamodb;Elasticsearch;Firebase Realtime Database;Firebird;H2;IBM DB2;InfluxDB;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Oracle;PostgreSQL;RavenDB;Redis;Snowflake;Solr;SQLite;Supabase;TiDB","Amazon Web Services (AWS);Cloudflare;Colocation;Digital Ocean;Firebase;Fly.io;Google Cloud;Heroku;Hetzner;IBM Cloud Or Watson;Linode, now Akamai;Managed Hosting;Microsoft Azure;Netlify;OpenShift;OpenStack;Oracle Cloud Infrastructure (OCI);OVH;Render;Scaleway;Vercel;VMware;Vultr","Angular;AngularJS","Advertising Services","None","Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ","Employed, full-time;Independent contractor, freelancer, or self-employed"
"760","Durban Campus","IT","I am a developer by profession","Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL","Cloud Firestore;Dynamodb;Elasticsearch;Firebase Realtime Database;H2;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Heroku;OVH;VMware","Angular;ASP.NET;CodeIgniter;Django;Express;Flask;jQuery;Laravel;Next.js;Node.js;React;Ruby on Rails;Spring Boot;Symfony;Vue.js;WordPress","Information Services; IT; Software Development; Technology","Bing AI;ChatGPT;Google Bard AI","Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Deployment and monitoring;Collaborating with teammates ","Employed, full-time"
"761","Durban Campus","IT","I am a developer by profession","Research & Development role","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;C++;TypeScript","Microsoft SQL Server;Neo4J;SQLite","Microsoft Azure","React","Not Stated","ChatGPT","Learning about a codebase;Writing code","Employed, full-time"
"762","Durban Campus","Computer Science","I am a developer by profession","Engineering manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Assembly;C++","None","Microsoft Azure","None","Not Stated","Bing AI","None","Employed, full-time"
"763","Durban Campus","IT","I am a developer by profession","Developer; full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;Java;Kotlin;SQL","Microsoft SQL Server;MongoDB;PostgreSQL;SQLite","Digital Ocean","AngularJS;ASP.NET CORE;Node.js;Spring Boot","Financial Services","None","None","Employed, full-time"
"764","Durban Campus","Computer Science","I am a developer by profession","N/A","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","C#;C++;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript","None","None","None","Not Stated","None","None","Student, full-time"
"765","Durban Campus","IT","I am a developer by profession","Developer; back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Java;Python;SQL","H2;PostgreSQL","OpenShift","Flask;Spring Boot","Information Services; IT; Software Development; Technology","None","None","Employed, full-time"
"766","Durban Campus","Data Science","I am a developer by profession","Developer; desktop ;enterprise applications","Primary/elementary school","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL","MongoDB;PostgreSQL;SQLite","Google Cloud","ASP.NET CORE;Express;jQuery;Node.js;WordPress","Not Stated","None","None","Independent contractor, freelancer, or self-employed;Student, full-time;Employed, part-time"
"767","Durban Campus","Computer Science","I am a developer by profession","Developer; QA ;test","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;Delphi;Groovy;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript;VBA","Firebird;Microsoft Access;Microsoft SQL Server;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Microsoft Azure;Render","Angular;ASP.NET CORE;Flask;Node.js;React","Information Services; IT; Software Development; Technology","Bing AI;ChatGPT","None","Employed, full-time"
"768","Durban Campus","Computer Science","I am a developer by profession","Developer; back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PHP;SQL","Cassandra;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS)","Laravel","Financial Services","ChatGPT","Learning about a codebase;Debugging and getting help;Testing code","Employed, full-time"
"769","Durban Campus","Computer Science","I am a developer by profession","Developer; full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript","Dynamodb;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS)","Django;FastAPI;Flask;jQuery;React","Information Services; IT; Software Development; Technology","ChatGPT","Learning about a codebase;Writing code","Employed, full-time"
"770","Durban Campus","IT","I am a developer by profession","Developer; full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C++;Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript","BigQuery;Cloud Firestore;Firebase Realtime Database;Redis","Google Cloud","Svelte","Not Stated","None","None","Employed, full-time;Independent contractor, freelancer, or self-employed"
"771","Durban Campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Product manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Go;JavaScript;Python;Rust;TypeScript","PostgreSQL;Supabase","None","Next.js;React","Not Stated","ChatGPT","None","Employed, full-time"
"772","Durban Campus","IT","I am a developer by profession","Developer; full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;TypeScript","Dynamodb;Oracle;PostgreSQL","Amazon Web Services (AWS)","Express;Next.js;Node.js;Spring Boot","Not Stated","None","None","Employed, full-time"
"773","Durban Campus","Data Science","I am a developer by profession","Developer; full-stack","Some college/university study without earning a degree","HTML/CSS;JavaScript;PHP;TypeScript","MongoDB;MySQL","Amazon Web Services (AWS);Heroku;Netlify;Vercel","Express;jQuery;Next.js;Node.js;React;WordPress","Not Stated","Bing AI;ChatGPT","None","Independent contractor, freelancer, or self-employed"
